Start Time (s),End Time (s),Duration (s),Speaker
6384.33,6390.9,6.57,SPEAKER_00
6391.71,6422.59,30.88,SPEAKER_00
6423.5,6441.42,17.92,SPEAKER_00
6443.06,6450.62,7.56,SPEAKER_00
6451.48,6469.96,18.48,SPEAKER_00
6470.73,6476.96,6.23,SPEAKER_00
6476.96,6484.27,7.31,SPEAKER_01
6482.76,6483.47,0.71,SPEAKER_00
6484.27,6495.03,10.76,SPEAKER_00
6496.47,6501.23,4.76,SPEAKER_00
6503.03,6541.03,38.0,SPEAKER_00
6543.18,6544.43,1.25,SPEAKER_00
6545.35,6559.38,14.03,SPEAKER_00
6560.15,6563.49,3.34,SPEAKER_00
6564.84,6574.02,9.18,SPEAKER_00
6576.2,6577.57,1.37,SPEAKER_00
6578.67,6584.72,6.05,SPEAKER_00
6585.9,6587.91,2.01,SPEAKER_00
6590.49,6598.85,8.36,SPEAKER_00
6599.76,6602.75,2.99,SPEAKER_00
6604.37,6608.08,3.71,SPEAKER_00
6609.83,6610.98,1.15,SPEAKER_00
6611.98,6634.99,23.01,SPEAKER_00
6635.79,6646.54,10.75,SPEAKER_00
6646.54,6658.32,11.78,SPEAKER_01
6659.38,6661.23,1.85,SPEAKER_01
6661.61,6684.34,22.73,SPEAKER_00
6684.66,6691.02,6.36,SPEAKER_01
6691.96,6704.76,12.8,SPEAKER_01
6705.7,6709.92,4.22,SPEAKER_01
6709.92,6710.59,0.67,SPEAKER_00
6711.25,6715.17,3.92,SPEAKER_00
6715.81,6718.42,2.61,SPEAKER_00
6719.54,6731.87,12.33,SPEAKER_00
6732.7,6754.17,21.47,SPEAKER_00
6756.02,6784.15,28.13,SPEAKER_00
6784.88,6792.37,7.49,SPEAKER_00
6793.69,6795.05,1.36,SPEAKER_00
6798.12,6818.73,20.61,SPEAKER_00
6819.47,6827.37,7.9,SPEAKER_00
6828.55,6829.39,0.84,SPEAKER_00
6830.25,6854.28,24.03,SPEAKER_00
6854.28,6860.95,6.67,SPEAKER_01
6864.26,6870.91,6.65,SPEAKER_01
6871.83,6873.81,1.98,SPEAKER_01
6874.75,6877.62,2.87,SPEAKER_01
6878.8,6914.02,35.22,SPEAKER_00
6915.2,6915.47,0.27,SPEAKER_00
6915.47,6932.38,16.91,SPEAKER_01
6933.66,6986.31,52.65,SPEAKER_01
6986.31,7017.6,31.29,SPEAKER_00
7018.29,7023.56,5.27,SPEAKER_00
7024.2,7089.34,65.14,SPEAKER_00
7089.93,7094.45,4.52,SPEAKER_00
7095.11,7096.74,1.63,SPEAKER_00
7097.57,7098.3,0.73,SPEAKER_00
7098.89,7112.73,13.84,SPEAKER_00
7114.19,7137.53,23.34,SPEAKER_00
7138.14,7161.39,23.25,SPEAKER_00
7162.44,7172.19,9.75,SPEAKER_00
7173.21,7190.0,16.79,SPEAKER_00
7191.73,7193.93,2.2,SPEAKER_00
7194.79,7206.06,11.27,SPEAKER_00
7206.9,7214.46,7.56,SPEAKER_01
7215.12,7251.78,36.66,SPEAKER_01
7253.4,7274.71,21.31,SPEAKER_01
7274.52,7283.64,9.12,SPEAKER_00
7284.45,7296.7,12.25,SPEAKER_00
7298.33,7317.59,19.26,SPEAKER_00
7318.48,7354.61,36.13,SPEAKER_00
7355.52,7366.29,10.77,SPEAKER_00
7367.37,7370.47,3.1,SPEAKER_00
7370.47,7400.6,30.13,SPEAKER_01
7395.13,7395.36,0.23,SPEAKER_00
7400.6,7469.65,69.05,SPEAKER_00
7470.85,7479.32,8.47,SPEAKER_00
7480.53,7493.75,13.22,SPEAKER_00
7495.26,7496.31,1.05,SPEAKER_00
7497.0,7508.34,11.34,SPEAKER_00
